geo_name,geo_sumlevel,geo_id,income_below_poverty_2013,income_below_poverty_2014,income_below_poverty_2015,income_below_poverty:pop_poverty_status_2013,income_below_poverty:pop_poverty_status_2014,income_below_poverty:pop_poverty_status_2015,income_below_poverty:pop_poverty_status_2016,income_below_poverty_2016,pop_poverty_status_2013,pop_poverty_status_2014,pop_poverty_status_2015,pop_poverty_status_2016
"DeKalb County, AL",county,05000US01049,13966,14128,13133,0.198761830214189,0.201118908992555,0.186890751519119,0.197866149369544,13872,70265,70247,70271,70108
"Elmore County, AL",county,05000US01051,9930,9700,10334,0.133712162016589,0.129421339844428,0.136424243224333,0.142969642083711,10893,74264,74949,75749,76191
"Escambia County, AL",county,05000US01053,9087,9309,8609,0.254495042849941,0.260449890884674,0.242438749647986,0.252026069708133,8894,35706,35742,35510,35290
"Etowah County, AL",county,05000US01055,19507,20059,20078,0.190152652408711,0.195938421864927,0.196638787142773,0.18376886741498,18713,102586,102374,102106,101829
"Fayette County, AL",county,05000US01057,3349,3492,3055,0.198671175179451,0.20827865919122,0.183241362763916,0.173011844331641,2863,16857,16766,16672,16548
"Franklin County, AL",county,05000US01059,6848,7601,7020,0.219079915541621,0.242804663791727,0.224769467213115,0.222852745984419,6951,31258,31305,31232,31191
"Geneva County, AL",county,05000US01061,5591,5983,6149,0.212133859462741,0.226311608730189,0.232309494125203,0.227680769667816,6011,26356,26437,26469,26401
"Greene County, AL",county,05000US01063,2923,3204,3479,0.328759419637836,0.366171428571429,0.402382604672681,0.378837590813218,3233,8891,8750,8646,8534
"Hale County, AL",county,05000US01065,4065,4213,4011,0.265825268114047,0.27913602332207,0.267900080149613,0.259117469272617,3858,15292,15093,14972,14889
"Henry County, AL",county,05000US01067,2452,2526,2657,0.143559718969555,0.148091692560239,0.156229787734462,0.152809785499025,2586,17080,17057,17007,16923
"Houston County, AL",county,05000US01069,18238,18730,18746,0.180326085881806,0.183708498847531,0.18288066807149,0.188806768452786,19415,101139,101955,102504,102830
"Jackson County, AL",county,05000US01071,8397,9567,9415,0.159596305165925,0.182444029139174,0.17995718490768,0.187921526430067,9780,52614,52438,52318,52043
"Jefferson County, AL",county,05000US01073,115966,120510,121029,0.179928100752041,0.186980996238968,0.187746940535711,0.181041714802312,116750,644513,644504,644639,644879
"Lamar County, AL",county,05000US01075,3170,3195,3382,0.222502983084158,0.226178677615744,0.24143346659052,0.238615141502658,3322,14247,14126,14008,13922
"Lauderdale County, AL",county,05000US01077,15594,16944,16232,0.171957876164746,0.186684001189912,0.179157192997947,0.182780725022104,16538,90685,90763,90602,90480
"Lawrence County, AL",county,05000US01079,5923,5751,6225,0.175470300696193,0.171374932951904,0.18731945113144,0.182801547014745,6050,33755,33558,33232,33096
"Lee County, AL",county,05000US01081,30605,33625,34561,0.220392320654444,0.236462728551336,0.237640441712392,0.230115918742109,34085,138866,142200,145434,148121
"Limestone County, AL",county,05000US01083,11933,11684,12075,0.14709580395444,0.140710053470784,0.142501416163142,0.141003430433336,12290,81124,83036,84736,87161
"Lowndes County, AL",county,05000US01085,2937,3165,3035,0.267315918813143,0.292540900268047,0.285003286693586,0.286900897460378,3005,10987,10819,10649,10474
"Macon County, AL",county,05000US01087,5066,4840,4636,0.272644098810613,0.263587844461388,0.25919713742592,0.255360735843633,4442,18581,18362,17886,17395
"Madison County, AL",county,05000US01089,42565,44895,46436,0.128316436501979,0.133895818048423,0.137373235353284,0.132703713254255,45287,331719,335298,338028,341264
"Marengo County, AL",county,05000US01091,4913,5054,5244,0.240397318588834,0.249728234015219,0.261493966291014,0.277783385485011,5504,20437,20238,20054,19814
"Marion County, AL",county,05000US01093,6196,5738,5960,0.208795282224094,0.193766251308547,0.200998246324025,0.186278487860959,5509,29675,29613,29652,29574
"Marshall County, AL",county,05000US01095,18046,18479,18794,0.194929626149043,0.198658338618992,0.20164586976814,0.205123258306538,19138,92577,93019,93203,93300
"Mobile County, AL",county,05000US01097,79994,80412,77917,0.197970158709732,0.198893387781754,0.192706929258104,0.194741221748369,78633,404071,404297,404329,403782
"Monroe County, AL",county,05000US01099,6452,6496,6901,0.285967556067724,0.291810790171151,0.313981527822012,0.320964920357241,6972,22562,22261,21979,21722
"Montgomery County, AL",county,05000US01101,46855,48575,49918,0.212037560810046,0.219582758854508,0.225907035892237,0.213116687532887,46982,220975,221215,220967,220452
"Morgan County, AL",county,05000US01103,18564,17858,18936,0.157406072733748,0.151309490523034,0.160558937746952,0.163091004984943,19172,117937,118023,117938,117554
"Perry County, AL",county,05000US01105,2469,3534,3373,0.255907960199005,0.373730964467005,0.36366576819407,0.397990726429675,3605,9648,9456,9275,9058
"Pickens County, AL",county,05000US01107,5213,4929,4801,0.271666058679452,0.255852582403322,0.249765893247321,0.239253216190775,4575,19189,19265,19222,19122
"Pike County, AL",county,05000US01109,8563,8513,8158,0.275905400180436,0.272389850574345,0.261398955429524,0.257420691853977,8074,31036,31253,31209,31365
"Randolph County, AL",county,05000US01111,5437,5191,4511,0.244711495184085,0.234653286321309,0.203840939900587,0.205622708135271,4542,22218,22122,22130,22089
"Russell County, AL",county,05000US01113,12076,12417,12054,0.220236358330902,0.221033519055841,0.210388522358362,0.215419029287832,12423,54832,56177,57294,57669
"St. Clair County, AL",county,05000US01115,12527,13363,13417,0.152272478636634,0.160804322450993,0.160015742772636,0.137037519079002,11582,82267,83101,83848,84517
"Shelby County, AL",county,05000US01117,15538,17115,16693,0.079391762427636,0.086329520004842,0.083295493670381,0.084936964121072,17227,195713,198252,200407,202821
"Sumter County, AL",county,05000US01119,4958,4930,5372,0.380185568591366,0.38515625,0.426518459706233,0.367206283058182,4582,13041,12800,12595,12478
"Talladega County, AL",county,05000US01121,17989,18253,17950,0.229395937209095,0.233656344807281,0.230485753540749,0.207941483803553,16119,78419,78119,77879,77517
"Tallapoosa County, AL",county,05000US01123,8071,8589,9117,0.197741081928655,0.211172030585401,0.224717162505238,0.233602496779946,9431,40816,40673,40571,40372
"Tuscaloosa County, AL",county,05000US01125,35293,34729,36274,0.188849767770382,0.184321842740758,0.190917799134728,0.179592985088624,34470,186884,188415,189998,191934
"Walker County, AL",county,05000US01127,13688,14997,14598,0.209053699065306,0.23035804801622,0.224958392405844,0.219309917994739,14174,65476,65103,64892,64630
